"year","source","item","value","Reference"
1992,"Current study","PUE_pc",61.4478,"FAO (2022) Cropland Nutrient Budget (current study)"
1966,"Current study","Input_MtPperYr",11.8406452839,"FAO (2022) Cropland Nutrient Budget (current study)"
1966,"Current study","Output_MtPperYr",6.7452999138,"FAO (2022) Cropland Nutrient Budget (current study)"
1966,"Current study","Surplus_MtPperYr",5.0953453701,"FAO (2022) Cropland Nutrient Budget (current study)"
1966,"Current study","PUE_pc",56.9673,"FAO (2022) Cropland Nutrient Budget (current study)"
1975,"Current study","Input_MtPperYr",16.2242663932,"FAO (2022) Cropland Nutrient Budget (current study)"
1975,"Current study","Output_MtPperYr",8.2238520779,"FAO (2022) Cropland Nutrient Budget (current study)"
1975,"Current study","Surplus_MtPperYr",8.0004143154,"FAO (2022) Cropland Nutrient Budget (current study)"
1975,"Current study","PUE_pc",50.6886,"FAO (2022) Cropland Nutrient Budget (current study)"
1984,"Current study","Input_MtPperYr",20.7401328721,"FAO (2022) Cropland Nutrient Budget (current study)"
1984,"Current study","Output_MtPperYr",10.7529599672,"FAO (2022) Cropland Nutrient Budget (current study)"
1984,"Current study","Surplus_MtPperYr",9.9871729049,"FAO (2022) Cropland Nutrient Budget (current study)"
1984,"Current study","PUE_pc",51.8461,"FAO (2022) Cropland Nutrient Budget (current study)"
1993,"Current study","Input_MtPperYr",18.1208175107,"FAO (2022) Cropland Nutrient Budget (current study)"
1993,"Current study","Output_MtPperYr",11.560819336,"FAO (2022) Cropland Nutrient Budget (current study)"
1993,"Current study","Surplus_MtPperYr",6.5599981747,"FAO (2022) Cropland Nutrient Budget (current study)"
1993,"Current study","PUE_pc",63.7986,"FAO (2022) Cropland Nutrient Budget (current study)"
1967,"Current study","Input_MtPperYr",12.3311600586,"FAO (2022) Cropland Nutrient Budget (current study)"
1967,"Current study","Output_MtPperYr",6.9593073799,"FAO (2022) Cropland Nutrient Budget (current study)"
1967,"Current study","Surplus_MtPperYr",5.3718526787,"FAO (2022) Cropland Nutrient Budget (current study)"
1967,"Current study","PUE_pc",56.4368,"FAO (2022) Cropland Nutrient Budget (current study)"
1976,"Current study","Input_MtPperYr",17.0553080031,"FAO (2022) Cropland Nutrient Budget (current study)"
1976,"Current study","Output_MtPperYr",8.7070170245,"FAO (2022) Cropland Nutrient Budget (current study)"
1976,"Current study","Surplus_MtPperYr",8.3482909786,"FAO (2022) Cropland Nutrient Budget (current study)"
1976,"Current study","PUE_pc",51.0517,"FAO (2022) Cropland Nutrient Budget (current study)"
1985,"Current study","Input_MtPperYr",20.4094757427,"FAO (2022) Cropland Nutrient Budget (current study)"
1985,"Current study","Output_MtPperYr",10.989540605,"FAO (2022) Cropland Nutrient Budget (current study)"
1985,"Current study","Surplus_MtPperYr",9.4199351377,"FAO (2022) Cropland Nutrient Budget (current study)"
1985,"Current study","PUE_pc",53.8453,"FAO (2022) Cropland Nutrient Budget (current study)"
1994,"Current study","Input_MtPperYr",18.4296817005,"FAO (2022) Cropland Nutrient Budget (current study)"
1994,"Current study","Output_MtPperYr",11.9874136468,"FAO (2022) Cropland Nutrient Budget (current study)"
1994,"Current study","Surplus_MtPperYr",6.4422680538,"FAO (2022) Cropland Nutrient Budget (current study)"
1994,"Current study","PUE_pc",65.0441,"FAO (2022) Cropland Nutrient Budget (current study)"
